video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=4Jiyk0CxifQ&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3M%3D,/@DiscoveryGlobeLifeDocumentaryY,Discovery Globe - Life Documentary,Inside Seattle's HOMELESS HELL – Even Cops Don't Dare Step In! - Documentary,10K,5 months,"In this unfiltered seattle street documentary, we journey into the heart of the seattle homeless crisis—a growing emergency that ...",2026-01-20 16:52:14.391198
/watch?v=3fvQBFWYvQ4&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3M%3D,/@fox13seattle,FOX 13 Seattle,Solving Seattle's homelessness crisis | FOX 13 Seattle,4.6K,5 months,"Washington has the third-highest homeless population in the nation, only trailing California and New York. Subscribe to FOX 13 ...",2026-01-20 16:52:14.391847
/watch?v=rvwyjeukJ94&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3M%3D,/@NickJohnson,Nick Johnson,This Is How Bad The Homeless Problem in Seattle Is Now,1M,4 years,"Seattle is just out of control. Can it even be fixed at this point? There's a reason people call it Freeattle. Free tents, free drugs, free ...",2026-01-20 16:52:14.392747
/watch?v=1OHLaObuF8Q&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3M%3D,/@discoveryinstitute,Discovery Institute,Homelessness in Seattle: How Did We Get Here?,833,1 year,"Restorations with Caitlyn McKenney - Ep. 6 In this episode, I'm joined by Discovery Senior Fellow and former Director of the U.S. ...",2026-01-20 16:52:14.393320
/shorts/3eunes_EN60,/@ReasonTV,ReasonTV,Seattle PUNISHED HIM for homeless squatters?!,318K,4 months,"Who is to blame for homeless encampments on private property? If you're Seattle, it's not the homeless, it's not the city, it's—the ...",2026-01-20 16:52:14.394033
/watch?v=0W0GAFJFyO0&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3PSBwkJTwoBhyohjO8%3D,/@fox13seattle,FOX 13 Seattle,City crews clear homeless encampment at Woodland Park | FOX 13 Seattle,19K,3 years,Woodland Park is closed this week while the city tears down a homeless encampment that has sat there for months. Subscribe to ...,2026-01-20 16:52:14.394686
/shorts/4WOyOdAw06c,/@komonews,KOMO News,Seattle mayoral candidates present contrasting solutions to city's homelessness crisis,1.7K,2 months,Seattle voters have some real contrasts between the two candidates for mayor when it comes to addressing homelessness.,2026-01-20 16:52:14.395397
/watch?v=iBbgY-8d33o&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3PSBwkJTwoBhyohjO8%3D,/@ReasonableNews,News For Reasonable People,"Seattle's Homeless Policy FIASCO Creates Food Deserts, Taxpayers Pay Twice",24K,2 months,"Seattle allows rampant crime and homelessness, then acts shocked when businesses flee and residents face food deserts.",2026-01-20 16:52:14.396105
/watch?v=WIX1rcjk0Pc&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3M%3D,/@komonews,KOMO News,Seattle neighbors frustrated by lack of action on homeless camp at city-owned vacant lot,28K,2 weeks,"A vacant property owned by the city of Seattle has been a source of ongoing problems ever since a homeless camp moved in, ...",2026-01-20 16:52:14.396745
/watch?v=Bp8pBW_n56I&pp=ygUUc2VhdHRsZSBob21lbGVzc25lc3M%3D,/@SkreethostTV,Skreethost TV,Welcome to 3rd and Pike: Inside Seattle’s Drug Epidemic,93K,2 months,... fentanyl epidemic fentanyl Seattle xylazine Seattle open air drug market Seattle Seattle homelessness street documentary drug ...,2026-01-20 16:52:14.397344
