video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=HmKKy0zD-uw&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-20 16:51:40.865129
/watch?v=jW_aLch4NVg&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@SeattlestheCity4K,Seattle's the City! Walking Tours and Events,4K UW Campus Walking Tour | University of Washington First Day of School 2025 #seattle #fall #uw,799,3 months,Join me for a 4K walking tour of the University of Washington (UW) campus in Seattle on the first day of school 2025!,2026-01-20 16:51:40.866588
/watch?v=nrvGKqFzQJA&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Why come to the University of Washington? (:30),18M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-20 16:51:40.867913
/watch?v=klDLZ6mAS1k&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-20 16:51:40.869861
/watch?v=QGQv8vv4KQg&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Why come to the University of Washington?,1.4M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-20 16:51:40.870988
/watch?v=WzJc75S-LzY&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-20 16:51:40.872826
/watch?v=l7QcjMv3LsY&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@POVTrips,POV Trips,University of Washington Tour | UW Campus Tour | Seattle POV Walk in 4K,2.8K,1 month,Discover the stunning University of Washington campus in Seattle in this 4K POV walking tour with natural ambient sound and no ...,2026-01-20 16:51:40.874192
/watch?v=gOmiwd2HS_c&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,University of Washington Campus Tour,481K,13 years,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2026-01-20 16:51:40.875803
/watch?v=h3Km-5cbHM4&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@MichelNadia,Michel Nadia,first day of school | University of Washington,9.6K,2 years,"This is a very short video, but I just wanted to show you guys how my first day went, and I will definitely post more about UW in the ...",2026-01-20 16:51:40.877074
/watch?v=4uRslLgGBK0&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington joins the Big Ten Conference,1.5K,1 year,"Welcome to the University of Washington, where innovation meets tradition in the heart of the Pacific Northwest. As we join the Big ...",2026-01-20 16:51:40.878470
/watch?v=D4R-YZ-VZhQ&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,164K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-01-20 16:51:40.879751
/watch?v=c8WeII08hEk&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@ProwalkTours,Prowalk Tours,"University of Washington Campus Tour 🌸 Cherry Blossoms in The Quad - Seattle, WA",12K,9 months,Enjoy a colorful walk through the beautiful University of Washington campus in Seattle during peak cherry blossom season.,2026-01-20 16:51:40.881591
/watch?v=APu1Fhc-Z1I&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@purpleguac,Purple Guac,WORST Things About University of Washington,68K,5 years,"UW Talks Episode 2. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-20 16:51:40.883617
/watch?v=etRZCmYa1bw&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,187K,2 years,"check out SigmaOS https://go.sigmaos.com/dobochobo a week of settling in, trying to get back into the groove of college life, ...",2026-01-20 16:51:40.885373
/watch?v=g--93OS0498&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,DAY IN MY LIFE @ the University of Washington // freshman,37K,3 years,"dayinthelife #universityofwashington #collegevlog welcome everyone to, I think, my favorite video I've ever filmed/edited ever!",2026-01-20 16:51:40.886878
/watch?v=f_6opswUTtY&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@purpleguac,Purple Guac,UW TALKS: What You Need to Know About the University Of Washington,20K,5 years,"UW Talks Episode 1. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-20 16:51:40.889003
/watch?v=Y-cn6v6VGj4&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u0gcJCU8KAYcqIYzv,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,43K,4 years,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2026-01-20 16:51:40.891031
/watch?v=eArtrDFSF24&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,59K,4 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2026-01-20 16:51:40.893060
/watch?v=BIWAo4DKyLo&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,8.9K,2 years,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2026-01-20 16:51:40.894349
