video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nrvGKqFzQJA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Why come to the University of Washington? (:30),18M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-20 16:51:05.726415
/watch?v=QGQv8vv4KQg&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Why come to the University of Washington?,1.4M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-20 16:51:05.727404
/watch?v=klDLZ6mAS1k&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-20 16:51:05.728806
/watch?v=D4R-YZ-VZhQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,164K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-01-20 16:51:05.729575
/watch?v=HmKKy0zD-uw&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-20 16:51:05.731089
/watch?v=WzJc75S-LzY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u0gcJCU8KAYcqIYzv,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-20 16:51:05.733276
/watch?v=jW_aLch4NVg&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@SeattlestheCity4K,Seattle's the City! Walking Tours and Events,4K UW Campus Walking Tour | University of Washington First Day of School 2025 #seattle #fall #uw,799,3 months,Join me for a 4K walking tour of the University of Washington (UW) campus in Seattle on the first day of school 2025!,2026-01-20 16:51:05.734503
/watch?v=gOmiwd2HS_c&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,University of Washington Campus Tour,481K,13 years,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2026-01-20 16:51:05.735983
/watch?v=4uRslLgGBK0&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington joins the Big Ten Conference,1.5K,1 year,"Welcome to the University of Washington, where innovation meets tradition in the heart of the Pacific Northwest. As we join the Big ...",2026-01-20 16:51:05.737316
/watch?v=c8WeII08hEk&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u0gcJCU8KAYcqIYzv,/@ProwalkTours,Prowalk Tours,"University of Washington Campus Tour 🌸 Cherry Blossoms in The Quad - Seattle, WA",12K,9 months,Enjoy a colorful walk through the beautiful University of Washington campus in Seattle during peak cherry blossom season.,2026-01-20 16:51:05.738920
/watch?v=l7QcjMv3LsY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u0gcJCU8KAYcqIYzv,/@POVTrips,POV Trips,University of Washington Tour | UW Campus Tour | Seattle POV Walk in 4K,2.8K,1 month,Discover the stunning University of Washington campus in Seattle in this 4K POV walking tour with natural ambient sound and no ...,2026-01-20 16:51:05.739718
